1000000 0.1
1004999 0.1
1010023 0.2
1015073 0.3
1020148 0.4
1025248 0.5
1030374 0.6
1035525 0.7
1040702 0.8
1045905 1
1051134 1.1
1056389 1.2
1061670 1.3
1066978 1.5
1072312 1.6
1077673 1.7
1083061 1.9
1088476 2
1093918 2.1
1099387 2.2
1104883 2.4
1110407 2.6
1115959 2.6
1121538 2.8
1127145 2.9
1132780 3.1
1138443 3.2
1144135 3.4
1149855 3.5
1155604 3.7
1161382 3.9
1167188 4
1173023 4.2
1178888 4.3
1184782 4.6
1190705 4.7
1196658 4.8
1202641 5.1
1208654 5.2
1214697 5.3
1220770 5.5
1226873 5.7
1233007 5.8
1239172 6
1245367 6.1
1251593 6.3
1257850 6.5
1264139 6.8
1270459 6.9
1276811 7.1
1283195 7.2
1289610 7.4
1296058 7.6
1302538 7.9
1309050 8
1315595 8.4
1322172 8.3
1328782 8.6
1335425 8.8
1342102 9.1
1348812 9.3
1355556 9.4
1362333 9.6
1369144 9.9
1375989 10.1
1382868 10.2
1389782 10.5
1396730 10.6
1403713 10.9
1410731 11.1
1417784 11.3
1424872 11.6
1431996 11.8
1439155 12
1446350 12.2
1453581 12.4
1460848 12.6
1468152 12.9
1475492 13.1
1482869 13.2
1490283 13.5
1497734 13.7
1505222 14
1512748 14.2
1520311 14.4
1527912 14.7
1535551 15
1543228 15.2
1550944 15.4
1558698 15.5
1566491 15.9
1574323 16.1
1582194 16.5
1590104 16.6
1598054 16.8
1606044 17.1
1614074 17.4
1622144 17.8
1630254 18.1
1638405 18.1
1646597 18.4
1654829 18.5
1663103 18.8
1671418 19.3
1679775 19.3
1688173 19.6
1696613 20.1
1705096 20.5
1713621 20.6
1722189 21
1730799 21.2
1739452 21.4
1748149 21.7
1756889 22.1
1765673 22.5
1774501 22.7
1783373 23
1792289 23.3
1801250 23.5
1810256 23.7
1819307 24.3
1828403 24.5
1837545 24.9
1846732 25
1855965 25.4
1865244 25.8
1874570 26.1
1883942 26.4
1893361 26.9
1902827 27
1912341 27.5
1921902 27.7
1931511 28
1941168 28.5
1950873 28.7
1960627 29
1970430 29.3
1980282 29.6
1990183 30.1
2000133 30.3
2010133 30.7
2020183 31.2
2030283 31.1
2040434 31.7
2050636 32.2
2060889 32.6
2071193 32.9
2081548 33.5
2091955 33.8
2102414 34.2
2112926 34.3
2123490 34.8
2134107 35.3
2144777 35.6
2155500 35.9
2166277 36.4
2177108 36.9
2187993 37.1
2198932 37.4
2209926 37.6
2220975 38.3
